t,x,y,theta
0,0,0,0
1,0.5,0,0
2,1,0,0
3,1.5,0,0
4,2,0,0
5,2.5,0,0
6,3,0,0
7,3.5,0,0
8,4,0,0
9,4.5,0,0
10,5,0,0
11,5.5,0,0
12,6,0,0
13,6.5,0,0
14,7,0,0
15,7.5,0,0
16,8,0,0
17,8.5,0,0
18,9,0,0
19,9.5,0,0
20,10,0,0
21,10.5,0,0
22,11,0,0
23,11.5,0,0
24,12,0,0
25,12.5,0,0
26,13,0,0
27,13.5,0,0
28,14,0,0
29,14.5,0,0
30,15,0,0
31,15.5,0,0
32,16,0,0
33,16.5,0,0
34,17,0,0
35,17.5,0,0
36,18,0,0
37,18.5,0,0
38,19,0,0
39,19.5,0,0
40,20,0,0
41,20.5,0,0
42,21,0,0
43,21.5,0,0
44,22,0,0
45,22.5,0,0
46,23,0,0
47,23.5,0,0
48,24,0,0
49,24.5,0,0
50,25,0.00083333,0.0033333
51,25.5,0.0041666,0.01
52,26,0.011666,0.02
53,26.5,0.024998,0.033333
54,26.999,0.045825,0.05
55,27.498,0.074976,0.066667
56,27.997,0.11244,0.083333
57,28.495,0.15821,0.1
58,28.992,0.21227,0.11667
59,29.488,0.27461,0.13333
60,29.983,0.3452,0.15
61,30.477,0.42404,0.16667
62,30.969,0.51109,0.18333
63,31.46,0.60634,0.2
64,31.949,0.70976,0.21667
65,32.437,0.82131,0.23333
66,32.922,0.94097,0.25
67,33.406,1.0687,0.26667
68,33.887,1.2045,0.28333
69,34.366,1.3483,0.3
70,34.842,1.5,0.31667
71,35.316,1.6596,0.33333
72,35.787,1.8272,0.35
73,36.255,2.0025,0.36667
74,36.72,2.1857,0.38333
75,37.183,2.3765,0.4
76,37.642,2.5751,0.41667
77,38.097,2.7812,0.43333
78,38.549,2.995,0.45
79,38.997,3.2162,0.46667
80,39.442,3.4449,0.48333
81,39.883,3.6809,0.5
82,40.32,3.9243,0.51667
83,40.752,4.1749,0.53333
84,41.181,4.4326,0.55
85,41.605,4.6975,0.56667
86,42.024,4.9695,0.58333
87,42.439,5.2483,0.6
88,42.85,5.5341,0.61667
89,43.255,5.8266,0.63333
90,43.656,6.1259,0.65
91,44.051,6.4318,0.66667
92,44.442,6.7442,0.68333
93,44.827,7.0631,0.7
94,45.206,7.3884,0.71667
95,45.581,7.72,0.73333
96,45.949,8.0578,0.75
97,46.312,8.4016,0.76667
98,46.67,8.7515,0.78333
99,47.021,9.1072,0.8
100,47.367,9.4682,0.81333
101,47.709,9.8332,0.82333
102,48.047,10.201,0.83
103,48.384,10.571,0.83333
104,48.72,10.941,0.83333
105,49.056,11.311,0.83333
106,49.393,11.681,0.83333
107,49.729,12.051,0.83333
108,50.065,12.421,0.83333
109,50.401,12.791,0.83333
110,50.737,13.161,0.83333
111,51.074,13.531,0.83333
112,51.41,13.901,0.83333
113,51.746,14.271,0.83333
114,52.082,14.642,0.83333
115,52.418,15.012,0.83333
116,52.755,15.382,0.83333
117,53.091,15.752,0.83333
118,53.427,16.122,0.83333
119,53.763,16.492,0.83333
120,54.1,16.862,0.83333
121,54.436,17.232,0.83333
122,54.772,17.602,0.83333
123,55.108,17.972,0.83333
124,55.444,18.342,0.83333
125,55.781,18.713,0.83333
126,56.117,19.083,0.83333
127,56.453,19.453,0.83333
128,56.789,19.823,0.83333
129,57.125,20.193,0.83333
130,57.462,20.563,0.83333
131,57.798,20.933,0.83333
132,58.134,21.303,0.83333
133,58.47,21.673,0.83333
134,58.806,22.043,0.83333
135,59.143,22.413,0.83333
136,59.479,22.784,0.83333
137,59.815,23.154,0.83333
138,60.151,23.524,0.83333
139,60.487,23.894,0.83333
140,60.824,24.264,0.83333
141,61.16,24.634,0.83333
142,61.496,25.004,0.83333
143,61.832,25.374,0.83333
144,62.168,25.744,0.83333
145,62.505,26.114,0.83333
146,62.841,26.484,0.83333
147,63.177,26.854,0.83333
148,63.513,27.225,0.83333
149,63.85,27.595,0.83333
150,64.186,27.965,0.83333
151,64.522,28.335,0.83333
152,64.858,28.705,0.83333
153,65.194,29.075,0.83333
154,65.531,29.445,0.83333
155,65.867,29.815,0.83333
156,66.203,30.185,0.83333
157,66.539,30.555,0.83333
158,66.875,30.925,0.83333
159,67.212,31.296,0.83333
160,67.548,31.666,0.83333
161,67.884,32.036,0.83333
162,68.22,32.406,0.83333
163,68.556,32.776,0.83333
164,68.893,33.146,0.83333
165,69.229,33.516,0.83333
166,69.565,33.886,0.83333
167,69.901,34.256,0.83333
168,70.237,34.626,0.83333
169,70.574,34.996,0.83333
170,70.91,35.367,0.83333
171,71.246,35.737,0.83333
172,71.582,36.107,0.83333
173,71.918,36.477,0.83333
174,72.255,36.847,0.83333
175,72.591,37.217,0.83333
176,72.927,37.587,0.83333
177,73.263,37.957,0.83333
178,73.599,38.327,0.83333
179,73.936,38.697,0.83333
180,74.272,39.067,0.83333
181,74.608,39.437,0.83333
182,74.944,39.808,0.83333
183,75.281,40.178,0.83333
184,75.617,40.548,0.83333
185,75.953,40.918,0.83333
186,76.289,41.288,0.83333
187,76.625,41.658,0.83333
188,76.962,42.028,0.83333
189,77.298,42.398,0.83333
190,77.634,42.768,0.83333
191,77.97,43.138,0.83333
192,78.306,43.508,0.83333
193,78.643,43.879,0.83333
194,78.979,44.249,0.83333
195,79.315,44.619,0.83333
196,79.651,44.989,0.83333
197,79.987,45.359,0.83333
198,80.324,45.729,0.83333
199,80.66,46.099,0.83333
200,80.996,46.469,0.835
201,81.331,46.841,0.83833
202,81.664,47.213,0.84333
203,81.995,47.588,0.85
204,82.324,47.965,0.85833
205,82.649,48.345,0.86833
206,82.97,48.728,0.88
207,83.286,49.116,0.89333
208,83.596,49.508,0.90833
209,83.9,49.905,0.925
210,84.198,50.306,0.94167
211,84.489,50.713,0.95833
212,84.773,51.125,0.975
213,85.05,51.541,0.99167
214,85.32,51.961,1.0083
215,85.583,52.387,1.025
216,85.839,52.816,1.0417
217,86.088,53.25,1.0583
218,86.329,53.688,1.075
219,86.564,54.129,1.0917
220,86.79,54.575,1.1083
221,87.01,55.024,1.125
222,87.222,55.477,1.1417
223,87.426,55.934,1.1583
224,87.622,56.393,1.175
225,87.811,56.856,1.1917
226,87.992,57.322,1.2083
227,88.166,57.791,1.225
228,88.331,58.263,1.2417
229,88.489,58.738,1.2583
230,88.639,59.215,1.275
231,88.781,59.694,1.2917
232,88.914,60.176,1.3083
233,89.04,60.66,1.325
234,89.158,61.146,1.3417
235,89.267,61.634,1.3583
236,89.368,62.123,1.375
237,89.462,62.615,1.3917
238,89.547,63.107,1.4083
239,89.623,63.601,1.425
240,89.692,64.097,1.4417
241,89.752,64.593,1.4583
242,89.804,65.09,1.475
243,89.848,65.588,1.4917
244,89.883,66.087,1.5083
245,89.91,66.586,1.525
246,89.929,67.086,1.5417
247,89.939,67.586,1.5583
248,89.941,68.086,1.575
249,89.935,68.586,1.5917
250,89.921,69.086,1.6083
251,89.898,69.585,1.625
252,89.866,70.084,1.6417
253,89.827,70.583,1.6583
254,89.779,71.08,1.675
255,89.723,71.577,1.6917
256,89.658,72.073,1.7083
257,89.586,72.568,1.725
258,89.505,73.061,1.7417
259,89.416,73.553,1.7583
260,89.318,74.043,1.775
261,89.213,74.532,1.7917
262,89.099,75.019,1.8083
263,88.978,75.504,1.825
264,88.848,75.987,1.8417
265,88.71,76.468,1.8583
266,88.564,76.946,1.875
267,88.411,77.422,1.8917
268,88.249,77.895,1.9083
269,88.079,78.365,1.925
270,87.902,78.833,1.9417
271,87.717,79.297,1.9583
272,87.524,79.759,1.975
273,87.324,80.217,1.9917
274,87.116,80.671,2.0083
275,86.9,81.122,2.025
276,86.677,81.57,2.0417
277,86.446,82.013,2.0583
278,86.208,82.453,2.075
279,85.963,82.889,2.0917
280,85.711,83.321,2.1083
281,85.451,83.748,2.125
282,85.185,84.171,2.1417
283,84.911,84.589,2.1583
284,84.63,85.003,2.175
285,84.343,85.412,2.1917
286,84.049,85.817,2.2083
287,83.748,86.216,2.225
288,83.44,86.61,2.2417
289,83.126,86.999,2.2583
290,82.805,87.383,2.275
291,82.479,87.761,2.2917
292,82.145,88.134,2.3083
293,81.806,88.501,2.325
294,81.461,88.863,2.3417
295,81.109,89.219,2.3583
296,80.752,89.568,2.375
297,80.389,89.912,2.3917
298,80.02,90.25,2.4083
299,79.646,90.581,2.425
300,79.266,90.907,2.4417
301,78.881,91.226,2.4583
302,78.491,91.538,2.475
303,78.095,91.844,2.4917
304,77.695,92.143,2.5083
305,77.289,92.436,2.525
306,76.879,92.721,2.5417
307,76.464,93,2.5583
308,76.044,93.272,2.575
309,75.62,93.537,2.5917
310,75.192,93.795,2.6083
311,74.759,94.045,2.625
312,74.322,94.289,2.6417
313,73.882,94.525,2.6583
314,73.437,94.753,2.675
315,72.988,94.974,2.6917
316,72.536,95.188,2.7083
317,72.081,95.394,2.725
318,71.622,95.593,2.7417
319,71.16,95.784,2.7583
320,70.695,95.967,2.775
321,70.226,96.142,2.7917
322,69.755,96.31,2.8083
323,69.281,96.469,2.825
324,68.805,96.621,2.8417
325,68.326,96.765,2.8583
326,67.845,96.9,2.875
327,67.361,97.028,2.8917
328,66.876,97.148,2.9083
329,66.389,97.259,2.925
330,65.899,97.363,2.9417
331,65.408,97.458,2.9583
332,64.916,97.545,2.975
333,64.422,97.624,2.9917
334,63.927,97.694,3.0083
335,63.431,97.756,3.025
336,62.934,97.81,3.0417
337,62.436,97.856,3.0583
338,61.938,97.894,3.075
339,61.439,97.923,3.0917
340,60.939,97.944,3.1083
341,60.439,97.956,3.125
342,59.939,97.96,3.1417
343,59.439,97.956,3.1583
344,58.939,97.943,3.175
345,58.44,97.923,3.1917
346,57.941,97.893,3.2083
347,57.442,97.856,3.225
348,56.944,97.81,3.2417
349,56.447,97.756,3.2583
350,55.951,97.694,3.275
351,55.456,97.623,3.2917
352,54.962,97.544,3.3083
353,54.47,97.457,3.325
354,53.979,97.362,3.3417
355,53.49,97.258,3.3583
356,53.002,97.147,3.375
357,52.517,97.027,3.3917
358,52.034,96.899,3.4083
359,51.552,96.763,3.425
360,51.074,96.62,3.4417
361,50.597,96.468,3.4583
362,50.123,96.308,3.475
363,49.652,96.141,3.4917
364,49.184,95.965,3.5083
365,48.719,95.782,3.525
366,48.257,95.591,3.5417
367,47.798,95.392,3.5583
368,47.342,95.186,3.575
369,46.89,94.973,3.5917
370,46.442,94.751,3.6083
371,45.997,94.523,3.625
372,45.556,94.286,3.6417
373,45.12,94.043,3.6583
374,44.687,93.792,3.675
375,44.259,93.535,3.6917
376,43.835,93.27,3.7083
377,43.415,92.998,3.725
378,43,92.719,3.7417
379,42.59,92.433,3.7583
380,42.184,92.141,3.775
381,41.784,91.841,3.7917
382,41.388,91.535,3.8083
383,40.998,91.223,3.825
384,40.613,90.904,3.8417
385,40.233,90.579,3.8583
386,39.859,90.247,3.875
387,39.49,89.909,3.8917
388,39.127,89.565,3.9083
389,38.77,89.215,3.925
390,38.419,88.86,3.9417
391,38.074,88.498,3.9583
392,37.734,88.131,3.975
393,37.401,87.758,3.9917
394,37.074,87.379,4.0083
395,36.754,86.996,4.025
396,36.44,86.607,4.0417
397,36.132,86.212,4.0583
398,35.831,85.813,4.075
399,35.537,85.409,4.0917
400,35.25,85,4.1083
401,34.969,84.586,4.125
402,34.696,84.167,4.1417
403,34.429,83.744,4.1583
404,34.17,83.317,4.175
405,33.917,82.885,4.1917
406,33.672,82.449,4.2083
407,33.434,82.01,4.225
408,33.204,81.566,4.2417
409,32.981,81.118,4.2583
410,32.765,80.667,4.275
411,32.557,80.213,4.2917
412,32.357,79.754,4.3083
413,32.164,79.293,4.325
414,31.979,78.829,4.3417
415,31.802,78.361,4.3583
416,31.632,77.891,4.375
417,31.471,77.417,4.3917
418,31.317,76.942,4.4083
419,31.171,76.463,4.425
420,31.034,75.983,4.4417
421,30.904,75.5,4.4583
422,30.782,75.015,4.475
423,30.669,74.528,4.4917
424,30.563,74.039,4.5083
425,30.466,73.549,4.525
426,30.377,73.057,4.5417
427,30.296,72.563,4.5583
428,30.224,72.069,4.575
429,30.159,71.573,4.5917
430,30.103,71.076,4.6083
431,30.055,70.578,4.625
432,30.016,70.08,4.6417
433,29.985,69.581,4.6583
434,29.962,69.081,4.675
435,29.947,68.581,4.6917
436,29.941,68.081,4.7083
437,29.943,67.581,4.725
438,29.954,67.082,4.7417
439,29.973,66.582,4.7583
440,30,66.083,4.775
441,30.035,65.584,4.7917
442,30.079,65.086,4.8083
443,30.131,64.589,4.825
444,30.191,64.092,4.8417
445,30.26,63.597,4.8583
446,30.337,63.103,4.875
447,30.422,62.61,4.8917
448,30.515,62.119,4.9083
449,30.617,61.629,4.925
450,30.726,61.141,4.94
451,30.842,60.655,4.9533
452,30.964,60.17,4.965
453,31.091,59.687,4.975
454,31.223,59.204,4.9833
455,31.359,58.723,4.99
456,31.497,58.243,4.995
457,31.637,57.763,4.9983
458,31.778,57.283,5
459,31.92,56.804,5
460,32.062,56.324,5
461,32.204,55.845,5
462,32.346,55.365,5
463,32.488,54.886,5
464,32.629,54.406,5
465,32.771,53.927,5
466,32.913,53.447,5
467,33.055,52.968,5
468,33.197,52.488,5
469,33.339,52.009,5
470,33.48,51.529,5
471,33.622,51.05,5
472,33.764,50.571,5
473,33.906,50.091,5
474,34.048,49.612,5
475,34.19,49.132,5
476,34.331,48.653,5
477,34.473,48.173,5
478,34.615,47.694,5
479,34.757,47.214,5
480,34.899,46.735,5
481,35.041,46.255,5
482,35.182,45.776,5
483,35.324,45.296,5
484,35.466,44.817,5
485,35.608,44.338,5
486,35.75,43.858,5
487,35.892,43.379,5
488,36.033,42.899,5
489,36.175,42.42,5
490,36.317,41.94,5
491,36.459,41.461,5
492,36.601,40.981,5
493,36.742,40.502,5
494,36.884,40.022,5
495,37.026,39.543,5
496,37.168,39.063,5
497,37.31,38.584,5
498,37.452,38.105,5
499,37.593,37.625,5
500,37.735,37.146,5
501,37.877,36.666,5
502,38.019,36.187,5
503,38.161,35.707,5
504,38.303,35.228,5
505,38.444,34.748,5
506,38.586,34.269,5
507,38.728,33.789,5
508,38.87,33.31,5
509,39.012,32.83,5
510,39.154,32.351,5
511,39.295,31.872,5
512,39.437,31.392,5
513,39.579,30.913,5
514,39.721,30.433,5
515,39.863,29.954,5
516,40.005,29.474,5
517,40.146,28.995,5
518,40.288,28.515,5
519,40.43,28.036,5
520,40.572,27.556,5
521,40.714,27.077,5
522,40.856,26.597,5
523,40.997,26.118,5
524,41.139,25.639,5
525,41.281,25.159,5
526,41.423,24.68,5
527,41.565,24.2,5
528,41.707,23.721,5
529,41.848,23.241,5
530,41.99,22.762,5
531,42.132,22.282,5
532,42.274,21.803,5
533,42.416,21.323,5
534,42.558,20.844,5
535,42.699,20.364,5
536,42.841,19.885,5
537,42.983,19.406,5
538,43.125,18.926,5
539,43.267,18.447,5
540,43.409,17.967,5
541,43.55,17.488,5
542,43.692,17.008,5
543,43.834,16.529,5
544,43.976,16.049,5
545,44.118,15.57,5
546,44.26,15.09,5
547,44.401,14.611,5
548,44.543,14.131,5
549,44.685,13.652,5
550,44.827,13.173,5
551,44.969,12.693,5
552,45.111,12.214,5
553,45.252,11.734,5
554,45.394,11.255,5
555,45.536,10.775,5
556,45.678,10.296,5
557,45.82,9.8163,5
558,45.962,9.3368,5
559,46.103,8.8574,5
560,46.245,8.3779,5
561,46.387,7.8984,5
562,46.529,7.419,5
563,46.671,6.9395,5
564,46.813,6.46,5
565,46.954,5.9806,5
566,47.096,5.5011,5
567,47.238,5.0217,5
568,47.38,4.5422,5
569,47.522,4.0627,5
570,47.663,3.5833,5
571,47.805,3.1038,5
572,47.947,2.6243,5
573,48.089,2.1449,5
574,48.231,1.6654,5
575,48.373,1.186,5
576,48.514,0.7065,5
577,48.656,0.22704,5
578,48.798,-0.25243,5
579,48.94,-0.73189,5
580,49.082,-1.2114,5
581,49.224,-1.6908,5
582,49.365,-2.1703,5
583,49.507,-2.6497,5
584,49.649,-3.1292,5
585,49.791,-3.6087,5
586,49.933,-4.0881,5
587,50.075,-4.5676,5
588,50.216,-5.047,5
589,50.358,-5.5265,5
590,50.5,-6.006,5
591,50.642,-6.4854,5
592,50.784,-6.9649,5
593,50.926,-7.4444,5
594,51.067,-7.9238,5
595,51.209,-8.4033,5
596,51.351,-8.8827,5
597,51.493,-9.3622,5
598,51.635,-9.8417,5
599,51.777,-10.321,5
600,51.918,-10.801,5
601,52.06,-11.28,5
602,52.202,-11.76,5
603,52.344,-12.239,5
604,52.486,-12.718,5
605,52.628,-13.198,5
606,52.769,-13.677,5
607,52.911,-14.157,5
608,53.053,-14.636,5
609,53.195,-15.116,5
610,53.337,-15.595,5
611,53.479,-16.075,5
612,53.62,-16.554,5
613,53.762,-17.034,5
614,53.904,-17.513,5
615,54.046,-17.993,5
616,54.188,-18.472,5
617,54.33,-18.951,5
618,54.471,-19.431,5
619,54.613,-19.91,5
620,54.755,-20.39,5
621,54.897,-20.869,5
622,55.039,-21.349,5
623,55.181,-21.828,5
624,55.322,-22.308,5
625,55.464,-22.787,5
626,55.606,-23.267,5
627,55.748,-23.746,5
628,55.89,-24.226,5
629,56.032,-24.705,5
630,56.173,-25.184,5
631,56.315,-25.664,5
632,56.457,-26.143,5
633,56.599,-26.623,5
634,56.741,-27.102,5
635,56.883,-27.582,5
636,57.024,-28.061,5
637,57.166,-28.541,5
638,57.308,-29.02,5
639,57.45,-29.5,5
640,57.592,-29.979,5
641,57.733,-30.459,5
642,57.875,-30.938,5
643,58.017,-31.417,5
644,58.159,-31.897,5
645,58.301,-32.376,5
646,58.443,-32.856,5
647,58.584,-33.335,5
648,58.726,-33.815,5
649,58.868,-34.294,5
650,59.01,-34.774,5
651,59.152,-35.253,5
652,59.294,-35.733,5
653,59.435,-36.212,5
654,59.577,-36.692,5
655,59.719,-37.171,5
656,59.861,-37.65,5
657,60.003,-38.13,5
658,60.145,-38.609,5
659,60.286,-39.089,5
660,60.428,-39.568,5
661,60.57,-40.048,5
662,60.712,-40.527,5
663,60.854,-41.007,5
664,60.996,-41.486,5
665,61.137,-41.966,5
666,61.279,-42.445,5
667,61.421,-42.925,5
668,61.563,-43.404,5
669,61.705,-43.883,5
670,61.847,-44.363,5
671,61.988,-44.842,5
672,62.13,-45.322,5
673,62.272,-45.801,5
674,62.414,-46.281,5
675,62.556,-46.76,5
676,62.698,-47.24,5
677,62.839,-47.719,5
678,62.981,-48.199,5
679,63.123,-48.678,5
680,63.265,-49.158,5
681,63.407,-49.637,5
682,63.549,-50.116,5
683,63.69,-50.596,5
684,63.832,-51.075,5
685,63.974,-51.555,5
686,64.116,-52.034,5
687,64.258,-52.514,5
688,64.4,-52.993,5
689,64.541,-53.473,5
690,64.683,-53.952,5
691,64.825,-54.432,5
692,64.967,-54.911,5
693,65.109,-55.391,5
694,65.251,-55.87,5
695,65.392,-56.349,5
696,65.534,-56.829,5
697,65.676,-57.308,5
698,65.818,-57.788,5
699,65.96,-58.267,5
700,66.102,-58.747,5
701,66.243,-59.226,5
702,66.385,-59.706,5
703,66.527,-60.185,5
704,66.669,-60.665,5
705,66.811,-61.144,5
706,66.953,-61.624,5
707,67.094,-62.103,5
708,67.236,-62.583,5
709,67.378,-63.062,5
710,67.52,-63.541,5
711,67.662,-64.021,5
712,67.804,-64.5,5
713,67.945,-64.98,5
714,68.087,-65.459,5
715,68.229,-65.939,5
716,68.371,-66.418,5
717,68.513,-66.898,5
718,68.654,-67.377,5
719,68.796,-67.857,5
720,68.938,-68.336,5
721,69.08,-68.816,5
722,69.222,-69.295,5
723,69.364,-69.774,5
724,69.505,-70.254,5
725,69.647,-70.733,5
726,69.789,-71.213,5
727,69.931,-71.692,5
728,70.073,-72.172,5
729,70.215,-72.651,5
730,70.356,-73.131,5
731,70.498,-73.61,5
732,70.64,-74.09,5
733,70.782,-74.569,5
734,70.924,-75.049,5
735,71.066,-75.528,5
736,71.207,-76.007,5
737,71.349,-76.487,5
738,71.491,-76.966,5
739,71.633,-77.446,5
740,71.775,-77.925,5
741,71.917,-78.405,5
742,72.058,-78.884,5
743,72.2,-79.364,5
744,72.342,-79.843,5
745,72.484,-80.323,5
746,72.626,-80.802,5
747,72.768,-81.282,5
748,72.909,-81.761,5
749,73.051,-82.24,5
750,73.193,-82.72,5
751,73.335,-83.199,5
752,73.477,-83.679,5
753,73.619,-84.158,5
754,73.76,-84.638,5
755,73.902,-85.117,5
756,74.044,-85.597,5
757,74.186,-86.076,5
758,74.328,-86.556,5
759,74.47,-87.035,5
760,74.611,-87.515,5
761,74.753,-87.994,5
762,74.895,-88.473,5
763,75.037,-88.953,5
764,75.179,-89.432,5
765,75.321,-89.912,5
766,75.462,-90.391,5
767,75.604,-90.871,5
768,75.746,-91.35,5
769,75.888,-91.83,5
770,76.03,-92.309,5
771,76.172,-92.789,5
772,76.313,-93.268,5
773,76.455,-93.748,5
774,76.597,-94.227,5
775,76.739,-94.706,5
776,76.881,-95.186,5
777,77.023,-95.665,5
778,77.164,-96.145,5
779,77.306,-96.624,5
780,77.448,-97.104,5
781,77.59,-97.583,5
782,77.732,-98.063,5
783,77.874,-98.542,5
784,78.015,-99.022,5
785,78.157,-99.501,5
786,78.299,-99.981,5
787,78.441,-100.46,5
788,78.583,-100.94,5
789,78.724,-101.42,5
790,78.866,-101.9,5
791,79.008,-102.38,5
792,79.15,-102.86,5
793,79.292,-103.34,5
794,79.434,-103.82,5
795,79.575,-104.3,5
796,79.717,-104.78,5
797,79.859,-105.25,5
798,80.001,-105.73,5
799,80.143,-106.21,5
800,80.285,-106.69,5
801,80.426,-107.17,5
802,80.568,-107.65,5
803,80.71,-108.13,5
804,80.852,-108.61,5
805,80.994,-109.09,5
806,81.136,-109.57,5
807,81.277,-110.05,5
808,81.419,-110.53,5
809,81.561,-111.01,5
810,81.703,-111.49,5
811,81.845,-111.97,5
812,81.987,-112.45,5
813,82.128,-112.93,5
814,82.27,-113.41,5
815,82.412,-113.88,5
816,82.554,-114.36,5
817,82.696,-114.84,5
818,82.838,-115.32,5
819,82.979,-115.8,5
820,83.121,-116.28,5
821,83.263,-116.76,5
822,83.405,-117.24,5
823,83.547,-117.72,5
824,83.689,-118.2,5
825,83.83,-118.68,5
826,83.972,-119.16,5
827,84.114,-119.64,5
828,84.256,-120.12,5
829,84.398,-120.6,5
830,84.54,-121.08,5
831,84.681,-121.56,5
832,84.823,-122.04,5
833,84.965,-122.52,5
834,85.107,-122.99,5
835,85.249,-123.47,5
836,85.391,-123.95,5
837,85.532,-124.43,5
838,85.674,-124.91,5
839,85.816,-125.39,5
840,85.958,-125.87,5
841,86.1,-126.35,5
842,86.242,-126.83,5
843,86.383,-127.31,5
844,86.525,-127.79,5
845,86.667,-128.27,5
846,86.809,-128.75,5
847,86.951,-129.23,5
848,87.093,-129.71,5
849,87.234,-130.19,5
850,87.376,-130.67,5
851,87.518,-131.15,5
852,87.66,-131.63,5
853,87.802,-132.1,5
854,87.944,-132.58,5
855,88.085,-133.06,5
856,88.227,-133.54,5
857,88.369,-134.02,5
858,88.511,-134.5,5
859,88.653,-134.98,5
860,88.795,-135.46,5
861,88.936,-135.94,5
862,89.078,-136.42,5
863,89.22,-136.9,5
864,89.362,-137.38,5
865,89.504,-137.86,5
866,89.645,-138.34,5
867,89.787,-138.82,5
868,89.929,-139.3,5
869,90.071,-139.78,5
870,90.213,-140.26,5
871,90.355,-140.73,5
872,90.496,-141.21,5
873,90.638,-141.69,5
874,90.78,-142.17,5
875,90.922,-142.65,5
876,91.064,-143.13,5
877,91.206,-143.61,5
878,91.347,-144.09,5
879,91.489,-144.57,5
880,91.631,-145.05,5
881,91.773,-145.53,5
882,91.915,-146.01,5
883,92.057,-146.49,5
884,92.198,-146.97,5
885,92.34,-147.45,5
886,92.482,-147.93,5
887,92.624,-148.41,5
888,92.766,-148.89,5
889,92.908,-149.37,5
890,93.049,-149.84,5
891,93.191,-150.32,5
892,93.333,-150.8,5
893,93.475,-151.28,5
894,93.617,-151.76,5
895,93.759,-152.24,5
896,93.9,-152.72,5
897,94.042,-153.2,5
898,94.184,-153.68,5
899,94.326,-154.16,5
900,94.468,-154.64,5
901,94.61,-155.12,5
902,94.751,-155.6,5
903,94.893,-156.08,5
904,95.035,-156.56,5
905,95.177,-157.04,5
906,95.319,-157.52,5
907,95.461,-158,5
908,95.602,-158.47,5
909,95.744,-158.95,5
910,95.886,-159.43,5
911,96.028,-159.91,5
912,96.17,-160.39,5
913,96.312,-160.87,5
914,96.453,-161.35,5
915,96.595,-161.83,5
916,96.737,-162.31,5
917,96.879,-162.79,5
918,97.021,-163.27,5
919,97.163,-163.75,5
920,97.304,-164.23,5
921,97.446,-164.71,5
922,97.588,-165.19,5
923,97.73,-165.67,5
924,97.872,-166.15,5
925,98.014,-166.63,5
926,98.155,-167.11,5
927,98.297,-167.58,5
928,98.439,-168.06,5
929,98.581,-168.54,5
930,98.723,-169.02,5
931,98.865,-169.5,5
932,99.006,-169.98,5
933,99.148,-170.46,5
934,99.29,-170.94,5
935,99.432,-171.42,5
936,99.574,-171.9,5
937,99.716,-172.38,5
938,99.857,-172.86,5
939,99.999,-173.34,5
940,100.14,-173.82,5
941,100.28,-174.3,5
942,100.42,-174.78,5
943,100.57,-175.26,5
944,100.71,-175.74,5
945,100.85,-176.22,5
946,100.99,-176.69,5
947,101.13,-177.17,5
948,101.28,-177.65,5
949,101.42,-178.13,5
950,101.56,-178.61,5
951,101.7,-179.09,5
952,101.84,-179.57,5
953,101.98,-180.05,5
954,102.13,-180.53,5
955,102.27,-181.01,5
956,102.41,-181.49,5
957,102.55,-181.97,5
958,102.69,-182.45,5
959,102.84,-182.93,5
960,102.98,-183.41,5
961,103.12,-183.89,5
962,103.26,-184.37,5
963,103.4,-184.85,5
964,103.54,-185.32,5
965,103.69,-185.8,5
966,103.83,-186.28,5
967,103.97,-186.76,5
968,104.11,-187.24,5
969,104.25,-187.72,5
970,104.4,-188.2,5
971,104.54,-188.68,5
972,104.68,-189.16,5
973,104.82,-189.64,5
974,104.96,-190.12,5
975,105.11,-190.6,5
976,105.25,-191.08,5
977,105.39,-191.56,5
978,105.53,-192.04,5
979,105.67,-192.52,5
980,105.81,-193,5
981,105.96,-193.48,5
982,106.1,-193.96,5
983,106.24,-194.43,5
984,106.38,-194.91,5
985,106.52,-195.39,5
986,106.67,-195.87,5
987,106.81,-196.35,5
988,106.95,-196.83,5
989,107.09,-197.31,5
990,107.23,-197.79,5
991,107.37,-198.27,5
992,107.52,-198.75,5
993,107.66,-199.23,5
994,107.8,-199.71,5
995,107.94,-200.19,5
996,108.08,-200.67,5
997,108.23,-201.15,5
998,108.37,-201.63,5
999,108.51,-202.11,5
